"","X","DR.NUMBER","DATE.REPORTED","DATE.OCCURRED","TIME.OCCURRED","AREA.ID","AREA.NAME","REPORTING.DISTRICT","CRIME.CODE","CRIME.CODE.DESCRIPTION","crime.type.record","level.detail","MO.CODES","VICTIM.AGE","VICTIM.SEX","VICTIM.DESCENT","PREMISE.CODE","PREMISE.DESCRIPTION","WEAPON.USED.CODE","WEAPON.DESCRIPTION","STATUS.CODE","STATUS.DESCRIPTION","CRIME.CODE.1","CRIME.CODE.2","CRIME.CODE.3","CRIME.CODE.4","ADDRESS","CROSS.STREET","LOCATION","LATITUDE","LONGITUDE","geometry","index_right","CT10","GEOID10","LABEL","OBJECTID","Shape_STAr","Shape_STLe","X_Center","Y_Center","year","month","day","day_of_week","duration"
"254",254,170115630,2017-05-31,2017-05-31,325,1,"Central",156,626,"INTIMATE PARTNER - SIMPLE ASSAULT","Intimate partner assault","Simple","2000 2004 1218 1402",36,"F","H",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",626,NA,NA,NA,"6TH","SAN JULIAN","(34.0428, -118.2461)",34.0428,-118.2461,"POINT (-118.2461 34.0428)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,5,31,"Thursday",0
"255",255,170115893,2017-06-02,2017-06-02,1445,1,"Central",156,624,"BATTERY - SIMPLE ASSAULT","Battery","","0416 2004 1218",58,"F","W",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"6TH                          ST","SPRING                       ST","(34.0437, -118.2455)",34.0437,-118.2455,"POINT (-118.2455 34.0437)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,6,2,"Saturday",0
"256",256,170115927,2017-06-03,2017-06-02,2330,1,"Central",158,440,"THEFT PLAIN - PETTY ($950 & UNDER)","Theft","","1218 0344",39,"M","W",102,"SIDEWALK",NA,"","IC","Invest Cont",440,NA,NA,NA,"6TH","CERES","(34.0394, -118.2405)",34.0394,-118.2405,"POINT (-118.2405 34.0394)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,6,2,"Saturday",1
"257",257,170115987,2017-06-04,2017-06-04,930,1,"Central",156,210,"ROBBERY","Robbery","","1218 0334 0355 0443 0344",47,"M","B",102,"SIDEWALK",207,"OTHER KNIFE","IC","Invest Cont",210,NA,NA,NA,"5TH","SAN PEDRO","(34.0442, -118.2439)",34.0442,-118.2439,"POINT (-118.2439 34.0442)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,6,4,"Monday",0
"258",258,171313762,2017-06-04,2017-06-04,1335,13,"Newton",1307,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","1402 0334 0432 0416 1218 2004",54,"M","B",102,"SIDEWALK",219,"SCREWDRIVER","AO","Adult Other",230,998,NA,NA,"7TH                          ST","GLADYS","(34.0387, -118.2439)",34.0387,-118.2439,"POINT (-118.2439 34.0387)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,6,4,"Monday",0
"259",259,170116011,2017-06-05,2017-06-05,300,1,"Central",157,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","1218 0411 0417 0416",54,"F","W",102,"SIDEWALK",200,"KNIFE WITH BLADE 6INCHES OR LESS","IC","Invest Cont",230,NA,NA,NA,"6TH","CROCKER","(34.0417, -118.2443)",34.0417,-118.2443,"POINT (-118.2443 34.0417)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,6,5,"Tuesday",0
"260",260,170116257,2017-06-07,2017-06-07,1215,1,"Central",166,624,"BATTERY - SIMPLE ASSAULT","Battery","","0416 1218",53,"F","B",203,"OTHER BUSINESS",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"600 S  SAN PEDRO                    ST","","(34.0421, -118.2469)",34.0421,-118.2469,"POINT (-118.2469 34.0421)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,6,7,"Thursday",0
"261",261,170116474,2017-06-10,2017-06-10,1005,1,"Central",158,624,"BATTERY - SIMPLE ASSAULT","Battery","","0416 1218 1008",55,"M","H",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"500 S  CENTRAL                      AV","","(34.0417, -118.2398)",34.0417,-118.2398,"POINT (-118.2398 34.0417)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,6,10,"Sunday",0
"262",262,170116562,2017-06-11,2017-06-11,1158,1,"Central",147,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","1218 0305 0411",52,"M","B",101,"STREET",207,"OTHER KNIFE","AA","Adult Arrest",230,NA,NA,NA,"5TH","SAN PEDRO","(34.0442, -118.2439)",34.0442,-118.2439,"POINT (-118.2439 34.0442)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,6,11,"Monday",0
"263",263,170116740,2017-06-13,2017-06-13,1915,1,"Central",157,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","2004 1218 0416",40,"F","B",102,"SIDEWALK",500,"UNKNOWN WEAPON/OTHER WEAPON","IC","Invest Cont",230,NA,NA,NA,"700 E  6TH                          ST","","(34.0412, -118.2436)",34.0412,-118.2436,"POINT (-118.2436 34.0412)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,6,13,"Wednesday",0
"264",264,170116747,2017-06-13,2017-06-13,1600,1,"Central",155,210,"ROBBERY","Robbery","","0305 0416 0319 0417 0903 1218 1238 1222",38,"F","B",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",210,NA,NA,NA,"7TH                          ST","MAPLE","(34.0448, -118.2474)",34.0448,-118.2474,"POINT (-118.2474 34.0448)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,6,13,"Wednesday",0
"265",265,170117148,2017-06-16,2017-06-14,900,1,"Central",156,440,"THEFT PLAIN - PETTY ($950 & UNDER)","Theft","","1218 0344",48,"F","O",517,"",NA,"","IC","Invest Cont",440,NA,NA,NA,"500 S  SAN PEDRO                    ST","","(34.0437, -118.2455)",34.0437,-118.2455,"POINT (-118.2455 34.0437)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,6,14,"Thursday",2
"266",266,170117153,2017-06-16,2017-06-16,840,1,"Central",166,624,"BATTERY - SIMPLE ASSAULT","Battery","","1218 2001 1206 0448 0416 0907",46,"F","B",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"600 S  SAN PEDRO                    ST","","(34.0421, -118.2469)",34.0421,-118.2469,"POINT (-118.2469 34.0421)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,6,16,"Saturday",0
"267",267,170117158,2017-06-16,2017-06-16,1745,1,"Central",156,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","1218 2004 0416 0429",56,"M","W",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",230,NA,NA,NA,"5TH","WALL","(34.0449, -118.2458)",34.0449,-118.2458,"POINT (-118.2458 34.0449)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,6,16,"Saturday",0
"268",268,170117358,2017-06-19,2017-06-19,540,1,"Central",157,236,"INTIMATE PARTNER - AGGRAVATED ASSAULT","Intimate partner assault","Aggravated","2000 2004 1218 1814 0445",47,"F","B",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA","Adult Arrest",236,NA,NA,NA,"6TH                          ST","CROCKER","(34.0417, -118.2443)",34.0417,-118.2443,"POINT (-118.2443 34.0417)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,6,19,"Tuesday",0
"269",269,170117391,2017-06-19,2017-06-19,1120,1,"Central",157,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","0416 1218",63,"M","B",102,"SIDEWALK",312,"PIPE/METAL PIPE","IC","Invest Cont",230,998,NA,NA,"700 E  6TH                          ST","","(34.0412, -118.2436)",34.0412,-118.2436,"POINT (-118.2436 34.0412)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,6,19,"Tuesday",0
"270",270,170117715,2017-06-20,2017-06-20,1415,1,"Central",155,480,"BIKE - STOLEN","Theft","","0344 1218",44,"F","O",102,"SIDEWALK",NA,"","IC","Invest Cont",480,NA,NA,NA,"5TH                          ST","MAPLE","(34.0454, -118.2466)",34.0454,-118.2466,"POINT (-118.2466 34.0454)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,6,20,"Wednesday",0
"271",271,170117471,2017-06-20,2017-06-20,820,1,"Central",156,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","0411 1218",47,"F","B",101,"STREET",200,"KNIFE WITH BLADE 6INCHES OR LESS","IC","Invest Cont",230,NA,NA,NA,"5TH                          ST","SAN PEDRO","(34.0442, -118.2439)",34.0442,-118.2439,"POINT (-118.2439 34.0442)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,6,20,"Wednesday",0
"272",272,170117607,2017-06-21,2017-06-20,1900,1,"Central",156,440,"THEFT PLAIN - PETTY ($950 & UNDER)","Theft","","0344 1218",25,"M","O",203,"OTHER BUSINESS",NA,"","IC","Invest Cont",440,NA,NA,NA,"500 S  SAN PEDRO                    ST","","(34.0437, -118.2455)",34.0437,-118.2455,"POINT (-118.2455 34.0437)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,6,20,"Wednesday",1
"273",273,170117646,2017-06-21,2017-06-21,1430,1,"Central",147,626,"INTIMATE PARTNER - SIMPLE ASSAULT","Intimate partner assault","Simple","0416 2000 1218 2004",32,"F","O",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",626,NA,NA,NA,"5TH                          ST","SAN PEDRO                    ST","(34.0442, -118.2439)",34.0442,-118.2439,"POINT (-118.2439 34.0442)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,6,21,"Thursday",0
"274",274,170117658,2017-06-21,2017-06-21,1745,1,"Central",166,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","0416 1218",40,"F","H",517,"",312,"PIPE/METAL PIPE","IC","Invest Cont",230,NA,NA,NA,"600 S  SAN PEDRO                    ST","","(34.0421, -118.2469)",34.0421,-118.2469,"POINT (-118.2469 34.0421)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,6,21,"Thursday",0
"275",275,170117672,2017-06-21,2017-06-21,1655,1,"Central",156,121,"RAPE, FORCIBLE","Rape","Forcible","0527 1218 2004",28,"F","B",101,"STREET",500,"UNKNOWN WEAPON/OTHER WEAPON","IC","Invest Cont",121,NA,NA,NA,"5TH","SAN PEDRO","(34.0442, -118.2439)",34.0442,-118.2439,"POINT (-118.2439 34.0442)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,6,21,"Thursday",0
"276",276,170117786,2017-06-22,2017-06-22,1730,1,"Central",155,624,"BATTERY - SIMPLE ASSAULT","Battery","","1218 0416",41,"F","B",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"6TH","MAPLE","(34.0439, -118.2479)",34.0439,-118.2479,"POINT (-118.2479 34.0439)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,6,22,"Friday",0
"277",277,170117784,2017-06-22,2017-06-22,1820,1,"Central",166,440,"THEFT PLAIN - PETTY ($950 & UNDER)","Theft","","0344 1218",57,"M","W",116,"OTHER/OUTSIDE",NA,"","IC","Invest Cont",440,NA,NA,NA,"600 S  SAN PEDRO                    ST","","(34.0421, -118.2469)",34.0421,-118.2469,"POINT (-118.2469 34.0421)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,6,22,"Friday",0
"278",278,170117881,2017-06-23,2017-06-23,1340,1,"Central",156,624,"BATTERY - SIMPLE ASSAULT","Battery","","1218 0416",45,"F","W",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"6TH","SAN PEDRO","(34.0423, -118.2452)",34.0423,-118.2452,"POINT (-118.2452 34.0423)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,6,23,"Saturday",0
"279",279,170117887,2017-06-23,2017-06-23,1730,1,"Central",158,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","0443 0400 1300 0429 1218",54,"F","B",108,"PARKING LOT",307,"VEHICLE","IC","Invest Cont",230,NA,NA,NA,"1100 E  7TH                          ST","","(34.0395, -118.2405)",34.0395,-118.2405,"POINT (-118.2405 34.0395)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,6,23,"Saturday",0
"280",280,170117893,2017-06-23,2017-06-23,1725,1,"Central",166,350,"THEFT, PERSON","Theft","","0344 1218",47,"M","W",102,"SIDEWALK",NA,"","IC","Invest Cont",350,NA,NA,NA,"600 S  SAN PEDRO                    ST","","(34.0421, -118.2469)",34.0421,-118.2469,"POINT (-118.2469 34.0421)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,6,23,"Saturday",0
"281",281,170100943,2017-06-24,2017-06-24,1430,1,"Central",166,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","1218 0416",58,"M","B",102,"SIDEWALK",312,"PIPE/METAL PIPE","IC","Invest Cont",230,NA,NA,NA,"600 S  SAN PEDRO                    ST","","(34.0421, -118.2469)",34.0421,-118.2469,"POINT (-118.2469 34.0421)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,6,24,"Sunday",0
"282",282,170118320,2017-06-28,2017-06-26,2000,1,"Central",157,860,"BATTERY WITH SEXUAL CONTACT","Battery","","0448 1218",39,"F","H",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",860,NA,NA,NA,"500 S  SAN PEDRO                    ST","","(34.0442, -118.2439)",34.0442,-118.2439,"POINT (-118.2439 34.0442)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,6,26,"Tuesday",2
"283",283,170118257,2017-06-27,2017-06-27,2310,1,"Central",166,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","1218 2004 0416 0443 2005",24,"F","B",102,"SIDEWALK",312,"PIPE/METAL PIPE","IC","Invest Cont",230,NA,NA,NA,"600 S  SAN PEDRO                    ST","","(34.0421, -118.2469)",34.0421,-118.2469,"POINT (-118.2469 34.0421)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,6,27,"Wednesday",0
"284",284,170118811,2017-07-03,2017-07-03,2000,1,"Central",158,210,"ROBBERY","Robbery","","1202 0305 0416 0429 0344 1218",64,"M","B",101,"STREET",308,"STICK","IC","Invest Cont",210,NA,NA,NA,"6TH                          ST","GLADYS                       ST","(34.0403, -118.2421)",34.0403,-118.2421,"POINT (-118.2421 34.0403)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,7,3,"Tuesday",0
"285",285,170118935,2017-07-05,2017-07-03,400,1,"Central",166,440,"THEFT PLAIN - PETTY ($950 & UNDER)","Theft","","0344 1218",52,"M","B",101,"STREET",NA,"","IC","Invest Cont",440,NA,NA,NA,"6TH                          ST","SAN JULIAN","(34.0428, -118.2461)",34.0428,-118.2461,"POINT (-118.2461 34.0428)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,7,3,"Tuesday",2
"286",286,170119017,2017-07-06,2017-07-06,200,1,"Central",166,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","0431 1218",49,"M","B",102,"SIDEWALK",512,"MACE/PEPPER SPRAY","IC","Invest Cont",230,NA,NA,NA,"600 S  SAN PEDRO                    ST","","(34.0421, -118.2469)",34.0421,-118.2469,"POINT (-118.2469 34.0421)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,7,6,"Friday",0
"287",287,170119100,2017-07-06,2017-07-06,2115,1,"Central",156,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","1218 0447",45,"M","B",203,"OTHER BUSINESS",212,"BOTTLE","IC","Invest Cont",230,NA,NA,NA,"300 E  5TH                          ST","","(34.0449, -118.2458)",34.0449,-118.2458,"POINT (-118.2458 34.0449)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,7,6,"Friday",0
"288",288,170119237,2017-07-08,2017-07-08,2205,1,"Central",166,210,"ROBBERY","Robbery","","1218 0310 0316 0337",60,"M","W",402,"MARKET",NA,"","IC","Invest Cont",210,NA,NA,NA,"400 E  7TH                          ST","","(34.0421, -118.2469)",34.0421,-118.2469,"POINT (-118.2469 34.0421)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,7,8,"Sunday",0
"289",289,170121237,2017-07-11,2017-07-11,1700,1,"Central",166,624,"BATTERY - SIMPLE ASSAULT","Battery","","0416 0429 1218",52,"M","B",517,"",NA,"","IC","Invest Cont",624,NA,NA,NA,"600 S  SAN PEDRO                    ST","","(34.0421, -118.2469)",34.0421,-118.2469,"POINT (-118.2469 34.0421)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,7,11,"Wednesday",0
"290",290,170119775,2017-07-15,2017-07-14,2215,1,"Central",148,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","1218 0416 0337",47,"M","B",102,"SIDEWALK",312,"PIPE/METAL PIPE","IC","Invest Cont",230,NA,NA,NA,"5TH                          ST","TOWNE","(34.043, -118.242)",34.043,-118.242,"POINT (-118.242 34.043)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,7,14,"Saturday",1
"291",291,171316817,2017-07-21,2017-07-21,1233,13,"Newton",1307,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","0334 0416 1218 0429",58,"M","B",102,"SIDEWALK",312,"PIPE/METAL PIPE","IC","Invest Cont",230,NA,NA,NA,"800 E  7TH                          ST","","(34.0396, -118.2451)",34.0396,-118.2451,"POINT (-118.2451 34.0396)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,7,21,"Saturday",0
"292",292,170120336,2017-07-22,2017-07-22,800,1,"Central",166,624,"BATTERY - SIMPLE ASSAULT","Battery","","0416 0444 2004 1218",69,"F","O",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA","Adult Arrest",624,NA,NA,NA,"6TH                          ST","SAN JULIAN","(34.0428, -118.2461)",34.0428,-118.2461,"POINT (-118.2461 34.0428)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,7,22,"Sunday",0
"293",293,170120337,2017-07-22,2017-07-22,800,1,"Central",166,624,"BATTERY - SIMPLE ASSAULT","Battery","","0416 0444 2004 1218",69,"F","O",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA","Adult Arrest",624,NA,NA,NA,"6TH                          ST","SAN JULIAN","(34.0428, -118.2461)",34.0428,-118.2461,"POINT (-118.2461 34.0428)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,7,22,"Sunday",0
"294",294,170120420,2017-07-23,2017-07-23,545,1,"Central",156,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","1218 1402 0319 0411",27,"M","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",207,"OTHER KNIFE","AO","Adult Other",230,998,NA,NA,"500 S  SAN PEDRO                    ST","","(34.0437, -118.2455)",34.0437,-118.2455,"POINT (-118.2455 34.0437)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,7,23,"Monday",0
"295",295,170120455,2017-07-24,2017-07-24,800,1,"Central",147,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","1218 0411",48,"M","B",102,"SIDEWALK",205,"KITCHEN KNIFE","IC","Invest Cont",230,NA,NA,NA,"SAN PEDRO                    ST","WINSTON                      ST","(34.0442, -118.2439)",34.0442,-118.2439,"POINT (-118.2439 34.0442)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,7,24,"Tuesday",0
"296",296,170120541,2017-07-25,2017-07-25,800,1,"Central",155,624,"BATTERY - SIMPLE ASSAULT","Battery","","2004 1218 0416 1601",28,"F","W",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"200 E  6TH                          ST","","(34.0448, -118.2474)",34.0448,-118.2474,"POINT (-118.2474 34.0448)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,7,25,"Wednesday",0
"297",297,170120601,2017-07-26,2017-07-26,220,1,"Central",156,626,"INTIMATE PARTNER - SIMPLE ASSAULT","Intimate partner assault","Simple","2000 2004 1218 0416 1813",35,"F","H",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",626,NA,NA,NA,"6TH                          ST","SAN JULIAN","(34.0428, -118.2461)",34.0428,-118.2461,"POINT (-118.2461 34.0428)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,7,26,"Thursday",0
"298",298,170120793,2017-07-27,2017-07-27,1025,1,"Central",166,236,"INTIMATE PARTNER - AGGRAVATED ASSAULT","Intimate partner assault","Aggravated","2000 1813 1821 1218 0416 0329",36,"F","H",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",236,NA,NA,NA,"6TH","SAN JULIAN","(34.0428, -118.2461)",34.0428,-118.2461,"POINT (-118.2461 34.0428)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,7,27,"Friday",0
"299",299,171317253,2017-07-28,2017-07-28,400,13,"Newton",1307,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","1218 0431 0910",56,"M","B",124,"BUS STOP",512,"MACE/PEPPER SPRAY","IC","Invest Cont",230,NA,NA,NA,"7TH","CENTRAL","(34.0368, -118.2412)",34.0368,-118.2412,"POINT (-118.2412 34.0368)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,7,28,"Saturday",0
"300",300,170120946,2017-07-30,2017-07-30,1730,1,"Central",156,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","1218 0411",48,"M","B",102,"SIDEWALK",223,"UNKNOWN TYPE CUTTING INSTRUMENT","IC","Invest Cont",230,NA,NA,NA,"5TH","SAN PEDRO","(34.0442, -118.2439)",34.0442,-118.2439,"POINT (-118.2439 34.0442)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,7,30,"Monday",0
"301",301,170120992,2017-07-31,2017-07-31,1225,1,"Central",156,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","1218 0319 0416 0429",53,"M","H",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",230,NA,NA,NA,"6TH","SAN JULIAN","(34.0416, -118.244)",34.0416,-118.244,"POINT (-118.244 34.0416)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,7,31,"Tuesday",0
"302",302,170121156,2017-08-01,2017-08-01,1730,1,"Central",147,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","0411 1218",27,"M","H",102,"SIDEWALK",500,"UNKNOWN WEAPON/OTHER WEAPON","IC","Invest Cont",230,NA,NA,NA,"5TH                          ST","SAN PEDRO","(34.0442, -118.2439)",34.0442,-118.2439,"POINT (-118.2439 34.0442)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,8,1,"Wednesday",0
"303",303,170122338,2017-08-15,2017-08-01,1100,1,"Central",166,440,"THEFT PLAIN - PETTY ($950 & UNDER)","Theft","","0344 1218",47,"M","B",102,"SIDEWALK",NA,"","IC","Invest Cont",440,NA,NA,NA,"6TH                          ST","SAN PEDRO","(34.0423, -118.2452)",34.0423,-118.2452,"POINT (-118.2452 34.0423)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,8,1,"Wednesday",14
"304",304,170121265,2017-08-02,2017-08-02,2220,1,"Central",166,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","0906 0416 1218",45,"M","B",101,"STREET",500,"UNKNOWN WEAPON/OTHER WEAPON","IC","Invest Cont",230,NA,NA,NA,"6TH","SAN PEDRO","(34.0423, -118.2452)",34.0423,-118.2452,"POINT (-118.2452 34.0423)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,8,2,"Thursday",0
"305",305,171317852,2017-08-05,2017-08-05,1720,13,"Newton",1307,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","1218 0334 0416 0305",52,"M","B",101,"STREET",308,"STICK","IC","Invest Cont",230,NA,NA,NA,"700    CROCKER                      ST","","(34.0401, -118.2459)",34.0401,-118.2459,"POINT (-118.2459 34.0401)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,8,5,"Sunday",0
"306",306,170121511,2017-08-06,2017-08-05,2230,1,"Central",157,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","0400 0416 1218",60,"M","W",102,"SIDEWALK",500,"UNKNOWN WEAPON/OTHER WEAPON","IC","Invest Cont",230,NA,NA,NA,"6TH","TOWNE","(34.0408, -118.2428)",34.0408,-118.2428,"POINT (-118.2428 34.0408)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,8,5,"Sunday",1
"307",307,170121619,2017-08-06,2017-08-06,1000,1,"Central",166,624,"BATTERY - SIMPLE ASSAULT","Battery","","0416 1218",28,"M","B",101,"STREET",NA,"","IC","Invest Cont",624,NA,NA,NA,"6TH","SAN PEDRO","(34.0423, -118.2452)",34.0423,-118.2452,"POINT (-118.2452 34.0423)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2017,8,6,"Monday",0
